Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3394751,0300FD7F,true,Rx,0,0,00,00,00,00,00,00,00,00,
3398114,02807FFD,true,Rx,0,8,BF,52,7F,FE,7F,FF,01,0E,
12535304,0180007F,true,Rx,0,8,80,00,81,F0,00,00,33,33,
12535885,02807FFD,true,Rx,0,8,BF,73,80,22,7F,F7,01,0E,
